"","IDENT","elev","PerSlope","aspect","Northness","Sdclass","Rockiness","VallyBotFlat","topowet","PPTann","pptColdQtr","pptWarmQtr","cvTemp","TempColdMin","TempColdMean","TempWarmMean","cvRad","annMeanRad","miAnnMean","miColdQtr","miWarmQtr","T0","T1","T2","GeolID","GeolClass","SOIL","Sandiness","Loaminess","K","Thor","Uran","THtoK","TotalC"
"102","GHOR1",239,2,204.996292,-0.906335136,100,0,3.53,16.12,735,263,106,147,32,80,187,45,157,66,32,18,1415.06,2552.76,5557.88,3417,"Qrcp","loamy sand",1,0,-0.7,3.42,2.18,-2.41,847.83
"103","GHOR2",238,2,208.786712,-0.876418384,100,0,3.55,13.81,735,263,105,147,32,80,187,45,157,66,32,18,1407.89,2759.5,5834.07,3417,"Qrcp","loamy sand",1,0,-0.43,4.38,1.88,-1.9,841.16
"104","GHOR3",238,2,208.786712,-0.876418384,100,0,3.55,13.81,735,263,105,147,32,80,187,45,157,66,32,18,1407.89,2759.5,5834.07,3417,"Qrcp","loamy sand",1,0,-0.43,4.38,1.88,-1.9,841.16
"105","GHOR4",237,2,215.561569,-0.813491036,100,0,3.52,12.31,734,262,105,147,32,80,187,45,157,65,32,18,1400.58,3013.32,6229.56,3417,"Qrcp","loamy sand",1,0,-0.18,2.59,3.64,-0.45,940.53
"106","GHOR5",239,2,238.048477,-0.529201555,100,0,3.53,19.99,735,263,106,147,32,80,187,45,157,66,32,18,2243.61,4459.2,7530.72,3417,"Qrcp","loamy sand",1,0,-0.55,2.87,4.57,-1.58,927.85
"107","GHOR6",239,1,290.148132,0.344448471,100,0,3.53,14.13,735,263,106,147,32,80,187,45,157,66,32,18,6287.91,7234.33,7492.76,3417,"Qrcp","loamy sand",1,0,-0.55,2.87,4.57,-1.58,927.85
"108","GHOR7",239,2,300.145019,0.502190358,100,0,3.52,15.36,735,263,106,147,32,80,187,45,157,66,32,18,7127.33,7483.95,6959.56,3417,"Qrcp","loamy sand",1,0,-0.47,3.38,4.4,-1.58,926.43
"109","GHOR8",240,1,296.539978,0.446822143,100,0,3.49,10.78,735,263,106,147,32,80,187,45,157,66,32,18,6834.61,7415.41,7174.06,3417,"Qrcp","loamy sand",1,0,-0.33,2.72,4.32,-0.9,912.66
"110","GHOR9",239,2,268.623229,-0.024026875,100,0,3.48,13.95,735,263,106,147,32,80,187,45,157,66,32,18,4359.98,6214.41,7915.94,3417,"Qrcp","loamy sand",1,0,-0.32,1.88,6.09,-0.61,932.64
"111","GHOR10",240,2,245.340927,-0.41721801,100,0,3.43,13.18,736,263,106,147,32,80,187,45,157,66,32,18,2702.88,4959.09,7810.44,3417,"Qrcp","loamy sand",1,0,-0.41,0.74,5.64,-0.3,915.82
"112","GHOR11",240,2,267.266265,-0.047694576,100,0,3.41,14.01,736,263,106,147,32,80,187,45,157,66,32,18,4264.21,6156.51,7945.33,3417,"Qrcp","loamy sand",1,0,-0.54,2.97,5.78,-1.6,900.92
"113","GHOR12",241,2,266.750122,-0.056690662,100,0,2.91,13.75,736,263,106,147,32,80,187,45,157,66,32,18,4227.16,6133.6,7955.37,3417,"Qrcp","loamy sand",1,0,-0.85,5.96,4.21,-5.06,862.42
